activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brics_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,district_id
43,BANADIR,HAMARWEINE,HILAAC,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2201
43,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Establish Early Warning System that leads to early action,1,1400,653,1,f,t,f,t,f,t,t,f,2604
43,GEDO,CEEL WAAQ,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Establish Early Warning System that leads to early action,1,290,653,1,f,t,f,t,f,t,t,f,2604
43,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Early Warning System Set up; recording and training,12,10,2207,1,f,f,f,f,t,t,t,t,1803
43,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HEAVY RAINS,Establish Early Warning System that leads to early action,1,395,653,1,f,t,f,t,f,t,t,f,2205
43,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HEAVY RAINS,Establish Early Warning System that leads to early action,1,900,653,1,f,t,f,t,f,t,t,f,2208
43,MUDUG,HOBYO,BAJELA,IRC,DROUGHT,Early Warning System Set up; recording and training,12,10,2207,1,f,f,f,f,t,t,t,t,1803
43,BANADIR,BANADIR,OCTOBER,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,
43,BANADIR,BANADIR,HALANE,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,
14,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,1400,7000,4,f,f,f,f,f,t,f,f,2604
43,MUDUG,HOBYO,LABAD,IRC,DROUGHT,Disaster Risk Reduction and Early Warning System Committees,12,10,4508,1,f,f,f,f,t,t,t,t,1803
43,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Disaster Risk Reduction and Early Warning System Committees,12,10,4508,1,f,f,f,f,t,t,t,t,1803
43,MUDUG,HOBYO,BAJELA,IRC,DROUGHT,Disaster Risk Reduction and Early Warning System Committees,12,10,4508,1,f,f,f,f,t,t,t,t,1803
47,GEDO,DOOLOW,SUR-GUDUD,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy                                 ,1,50,2500,1,f,t,f,f,f,f,f,f,2605
47,GEDO,DOOLOW,KAPASA,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy                             ,1,50,2500,1,f,t,f,t,f,t,f,t,2605
47,GEDO,DOOLOW,QANSAXLEY,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy                         ,1,50,2500,1,f,t,f,t,f,t,t,f,2605
44,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Estbalishment of business cooperatives (income generating activities),50 Women,50,8000,4,f,f,f,f,f,f,t,f,1803
44,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Estbalishment of business cooperatives (income generating activities),40 Women and Men,40,4000,4,f,f,f,f,f,f,t,f,1803
44,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Estbalishment of business cooperatives (income generating activities),60 Women,60,8000,4,f,f,f,f,f,f,t,f,1803
47,GEDO,DOOLOW,GEEDWEINE,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy                         ,1,50,2500,1,f,t,f,f,f,f,f,f,2605
43,MUDUG,JARIIBAN,HINGOD,IRC,DROUGHT,Early Warning System Set up; recording and training,12,10,2207,1,f,f,f,f,t,t,t,t,1804
45,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,HAZARDS,Support communities with fishing  gears,30,30,60000,4,f,f,t,t,f,f,t,t,2801
45,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,HAZARDS,Support communities with fishing  gears,30,30,60000,4,f,f,t,t,f,f,t,t,2801
45,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,HAZARDS,Support communities with fishing  gears,30,30,60000,4,f,f,t,t,f,f,t,t,2801
47,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy,1,50,2500,1,f,t,t,f,f,f,f,f,2801
47,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy,1,50,2500,1,f,t,t,f,f,f,f,f,2801
46,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Community Sensitization; planning and training,6,300,12177,1,f,f,f,t,t,t,t,t,1803
43,MUDUG,JARIIBAN,BUDBUD,IRC,DROUGHT,Early Warning System Set up; recording and training,12,10,2207,1,f,f,f,f,t,t,t,t,1804
43,MUDUG,JARIIBAN,HINGOD,IRC,DROUGHT,Disaster Risk Reduction and Early Warning System Committees,12,10,4508,1,f,f,f,f,t,t,t,t,1804
43,MUDUG,JARIIBAN,BUDBUD,IRC,DROUGHT,Disaster Risk Reduction and Early Warning System Committees,12,10,4508,1,f,f,f,f,t,t,t,t,1804
37,HIRAAN,BELET WEYNE,BUNDO MADOW,SCI,DROUGHT,Provision of donkey carts,1,20,7000,4,f,f,f,f,f,f,t,f,2001
47,GEDO,LUUQ,LUUQ-GODEY,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy                                            ,1,50,2500,1,f,t,t,f,f,f,f,f,2606
47,GEDO,LUUQ,JAZEERA (ALL),NRC,CONFLICT,Provide Housing; Land and Property legal advocacy                         ,1,50,2500,1,f,t,f,f,f,f,f,f,2606
47,BAY,BAYDHABA,HAWL WADAAG,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy                         ,1,50,2500,1,f,t,f,f,f,f,f,f,2401
43,MUDUG,GAALKACYO,BITALE,IRC,DROUGHT,Early Warning System Set up; recording and training,12,10,2207,1,f,f,f,f,t,t,t,t,1801
43,MUDUG,GAALKACYO,BANDARQAALI,IRC,DROUGHT,Early Warning System Set up; recording and training,12,600,2207,1,f,f,f,f,t,t,t,t,1801
43,MUDUG,GAALKACYO,BITALE,IRC,DROUGHT,Disaster Risk Reduction and Early Warning System Committees,12,10,4508,1,f,f,f,f,t,t,t,t,1801
43,MUDUG,GAALKACYO,BANDARQAALI,IRC,DROUGHT,Disaster Risk Reduction and Early Warning System Committees,12,600,4508,1,f,f,f,f,t,t,t,t,1801
44,MUDUG,GAALKACYO,HOWL WADAAG,CESVI,DROUGHT,Estbalishment of business cooperatives (income generating activities),90 Women,90,7500,4,f,f,f,f,f,f,t,f,1801
44,MUDUG,GAALKACYO,DHUURE,CESVI,DROUGHT,Estbalishment of business cooperatives (income generating activities),50 Women and Men,50,4000,4,f,f,f,f,f,f,t,f,1801
44,MUDUG,GAALKACYO,WARGALO,CESVI,DROUGHT,Establishment of business cooperatives (income generating activities),50 Women,50,8000,4,f,f,f,f,f,f,t,f,1801
44,MUDUG,GAALKACYO,GALINSOOR,CESVI,DROUGHT,Establishment of business cooperatives (income generating activities),40 Women  ,40,8000,4,f,f,f,f,f,f,t,f,1801
44,MUDUG,GAALKACYO,DOCOL,CESVI,DROUGHT,Establishment of business cooperatives (income generating activities),50 Women,50,8000,4,f,f,f,f,f,f,t,f,1801
15,HIRAAN,BELET WEYNE,ILKACADO,SCI,DROUGHT,Provision of small grants to women-headed households,1,10,10000,4,f,f,f,f,f,f,t,t,2001
15,HIRAAN,BELET WEYNE,GURICADE,SCI,DROUGHT,Provision of small grants to women-headed households,1,15,15000,4,f,f,f,f,f,f,f,t,2001
15,HIRAAN,BELET WEYNE,FAAFGUMARE,SCI,DROUGHT,Provision of small grants to women-headed households,1,10,10000,4,f,f,f,f,f,f,t,t,2001
15,HIRAAN,BELET WEYNE,ELGAL,SCI,DROUGHT,Provision of small grants to women-headed households,1,40,40000,4,f,f,f,f,f,f,t,t,2001
15,HIRAAN,BELET WEYNE,BELETWEYNE TOWN,SCI,FLOOD,Provision of livelihoods small business grants,1,100,100000,4,f,f,t,f,f,f,t,f,2001
15,HIRAAN,BELET WEYNE,QOQANE,SCI,FLOOD,Provision of cash grants,3,33,17850,4,f,f,f,f,f,f,t,t,2001
15,HIRAAN,BELET WEYNE,QARSONE,SCI,FLOOD,Provision of cash grants,3,30,16200,4,f,f,f,f,f,f,t,t,2001
15,HIRAAN,BELET WEYNE,DHARIYOW,SCI,FLOOD,Provision of cash grants,3,35,9450,4,f,f,f,f,f,f,t,f,2001
15,HIRAAN,BELET WEYNE,BELETWEYNE TOWN,SCI,FLOOD,Provision of cash grants,3,100,54000,4,f,f,f,f,f,f,t,t,2001
15,HIRAAN,BELET WEYNE,BASLAWE,SCI,FLOOD,Provision of cash grants,3,33,17820,4,f,f,t,t,f,f,f,f,2001
15,HIRAAN,BELET WEYNE,HARCADEY,SCI,DROUGHT,Provision of cash grants,3,40,21600,4,f,f,f,f,t,f,t,f,2001
43,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Early Warning System Set up; recording and training,12,250,2207,1,f,f,f,f,t,t,t,t,2208
45,BANADIR,BANADIR,HALANE,NRC,FLOOD,Support communities with fishing  gears,30,30,60000,4,f,f,t,t,f,f,t,t,
50,BANADIR,BANADIR,SACID RORAYE,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,
50,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DISEASE,CHWs - Recruit; train; incentivise,5,5,9600,2,t,t,t,t,t,t,t,f,2308
50,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DISEASE,CHWs - Recruit; train; incentivise,1,1,1920,2,t,t,t,t,t,t,t,f,2308
50,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DISEASE,CHWs - Recruit; train; incentivise,2,2,3840,2,t,t,t,t,t,t,t,f,2308
14,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,f,t,t,f,f,f,t,f,2604
14,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,f,t,t,f,f,f,t,f,2604
14,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,f,t,t,f,f,f,t,f,2604
14,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Digging of rubbish pits through Cash for Work activities,14 individuals,14,1960,4,f,f,f,t,f,f,f,f,1803
14,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Digging of rubbish pits through Cash for Work Activities,14 individuals,14,1960,4,f,f,f,t,f,f,f,f,1803
15,GEDO,DOOLOW,SUR-GUDUD,NRC,HAZARDS,Provide start up cash grants,1,10,5000,4,f,t,t,f,f,f,f,f,2605
15,GEDO,DOOLOW,QANSAXLEY,NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,t,t,f,2605
15,GEDO,DOOLOW,KAPASA,NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,t,t,f,2605
15,HIRAAN,BELET WEYNE,FAAFGUMARE,SCI,DROUGHT,Provision of cash grants,1,35,9450,4,f,f,f,f,t,f,f,f,2001
50,BANADIR,BANADIR,DAGAH TUR,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,
51,BANADIR,BANADIR,SACID RORAYE,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,
47,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy,1,50,2500,1,f,t,f,f,f,f,f,f,2606
50,GEDO,LUUQ,LUUQ-GODEY,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,f,f,f,f,f,2606
50,GEDO,LUUQ,JAZEERA (ALL),NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,f,f,f,f,f,2606
50,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,f,f,f,f,f,2606
51,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,f,t,t,f,f,f,f,2606
50,GEDO,DOOLOW,SUR-GUDUD,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2605
50,GEDO,DOOLOW,QANSAXLEY,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2605
50,GEDO,DOOLOW,GEEDWEINE,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2605
51,GEDO,DOOLOW,SUR-GUDUD,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,f,t,f,f,f,f,f,2605
51,GEDO,DOOLOW,QANSAXLEY,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,f,t,t,f,f,f,f,2605
51,GEDO,DOOLOW,KAPASA,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,2605
50,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,DISEASE,CHWs - Recruit; train; incentivise,4,4,7680,2,t,t,t,t,t,t,t,f,2302
47,BAY,BAYDHABA,BONKAI,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy,1,50,2500,1,f,t,t,t,f,t,t,t,2401
47,BAY,BAYDHABA,BERDAALE,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy,1,50,2500,1,f,t,f,f,f,f,f,f,2401
50,BAY,BAYDHABA,HAWL WADAAG,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,f,f,f,f,f,f,2401
50,BAY,BAYDHABA,BONKAI,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2401
50,BAY,BAYDHABA,BERDAALE,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2401
51,BAY,BAYDHABA,HAWL WADAAG,NRC,DROUGHT,Rehabilitation/construction and equipping of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,2401
50,BANADIR,HAMARWEINE,HORSEED,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2201
50,BANADIR,HAMARWEINE,HILAAC,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2201
50,BANADIR,BANADIR,OCTOBER,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,
50,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,DISEASE,CHWs - Recruit; train; incentivise,6,6,17460,2,t,t,t,t,t,t,t,f,2205
50,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,DISEASE,CHWs - Recruit; train; incentivise,10,10,29100,2,t,t,t,t,t,t,t,f,2208
51,BANADIR,HAMARWEINE,HORSEED,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,2201
51,BANADIR,HAMARWEINE,HILAAC,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,2201
51,BANADIR,BANADIR,OCTOBER,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,
50,BANADIR,BANADIR,HALANE,NRC,FLOOD,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,
15,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,HAZARDS,Provision of start up cash grants,3,20,15000,4,f,t,t,f,f,t,f,f,2801
15,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,t,t,f,f,f,f,f,2801
15,GEDO,LUUQ,LUUQ-GODEY,NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,t,t,f,f,f,f,f,2606
47,GEDO,BELET XAAWO,HAROODI,CWW,DROUGHT,Land reclamation (gabions; demilunes etc) - pilot project,1,100,12000,1,f,f,f,t,f,f,f,f,2603
50,GEDO,BELET XAAWO,MALKARIYEY,CWW,DISEASE,CHWs - Recruit; train; incentivise,2,2,3840,2,t,t,t,t,t,t,t,f,2603
50,GEDO,BELET XAAWO,HAROODI,CWW,DISEASE,CHWs - Recruit; train; incentivise,2,2,3840,2,t,t,t,t,t,t,t,f,2603
50,GEDO,BELET XAAWO,GAWIIDO,CWW,DISEASE,CHWs - Recruit; train; incentivise,2,2,3840,2,t,t,t,t,t,t,t,f,2603
50,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DISEASE,CHWs - Recruit; train; incentivise,10,10,29100,2,t,t,t,t,t,t,t,f,2603
47,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Land reclamation (gabions; demilunes etc) - pilot project,1,100,12000,1,f,f,f,f,t,f,f,f,2604
47,GEDO,CEEL WAAQ,DHAMASA,CWW,DROUGHT,Land reclamation (gabions; demilunes etc) - pilot project,1,100,12000,1,f,f,t,f,f,f,f,f,2604
50,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DISEASE,CHWs - Recruit; train; incentivise,1,1,1920,2,t,t,t,t,t,t,t,f,2604
50,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DISEASE,CHWs - Recruit; train; incentivise,1,1,1920,2,t,t,t,t,t,t,t,f,2604
50,GEDO,CEEL WAAQ,MERI,CWW,DISEASE,CHWs - Recruit; train; incentivise,2,2,3840,2,t,t,t,t,t,t,t,f,2604
50,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DISEASE,CHWs - Recruit; train; incentivise,8,8,23280,2,t,t,t,t,t,t,t,f,2604
51,BANADIR,BANADIR,AHMED GUREY,SCI,DISEASE OUTBREAK,Rehabilitation of water sources and piping from water source to the water point,2,858,7700,2,f,f,f,t,t,f,f,f,
62,GEDO,BELET XAAWO,MALKARIYEY,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2603
50,GEDO,CEEL WAAQ,ELBANDA (DARKEYN DHOQA),CWW,DISEASE,CHWs - Recruit; train; incentivise,1,1,1920,2,t,t,t,t,t,t,t,f,2604
50,GEDO,CEEL WAAQ,DHAMASA,CWW,DISEASE,CHWs - Recruit; train; incentivise,6,6,11520,2,t,t,t,t,t,t,t,f,2604
51,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,f,t,t,f,f,f,f,2606
51,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Rehabilitation of water points and Extension of pipelines,1 Gensset ,350,24000,2,f,f,t,t,f,f,f,f,1803
51,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Rehabilitation of water points (Shallow wells),8 Shallow wells,300,14200,2,f,f,t,t,t,f,f,f,1803
51,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Rehabilitation of water points (Shallow wells),5 shallow wells,150,9500,2,f,f,t,t,t,f,f,f,1803
54,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,2606
54,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,2606
54,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Restocking,300 goats,30,12000,4,f,f,f,f,f,f,t,f,1803
54,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Restocking,400 Goats,40,16000,4,f,f,f,f,f,f,t,f,1803
54,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Restocking,800 goats,80,32000,4,f,f,f,f,f,f,t,f,1803
51,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,f,t,f,f,f,f,f,2801
51,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,f,t,f,f,f,f,f,2801
51,BANADIR,BANADIR,HALANE,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,
54,GEDO,DOOLOW,SUR-GUDUD,NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,2605
54,GEDO,DOOLOW,QANSAXLEY,NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,2605
54,GEDO,DOOLOW,KAPASA,NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,2605
54,GEDO,DOOLOW,GEEDWEINE,NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,2605
51,BAY,BAYDHABA,BERDAALE,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,2401
54,BAY,BAYDHABA,BERDAALE,NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,2401
51,MUDUG,GAALKACYO,WARGALO,CESVI,DROUGHT,Rehabilitation of water points and Extension of pipelines,2 water point extensions,400,20800,2,f,f,t,t,t,f,f,f,1801
51,MUDUG,GAALKACYO,DOCOL,CESVI,DROUGHT,Rehabilitation of water points and Extension of pipelines,1 gensset and pipeline extension,400,44675,2,f,f,t,t,t,f,f,f,1801
51,MUDUG,GAALKACYO,DHUURE,CESVI,DROUGHT,Rehabilitation of water points (Shallow wells),4 shallow wells,200,8000,2,f,f,t,t,t,f,f,f,1801
51,MUDUG,GAALKACYO,GALINSOOR,CESVI,DROUGHT,Rehabilitation of water points,2 water point extensions,400,21000,2,f,f,t,t,t,f,f,f,1801
51,MUDUG,GAALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Rehabilitation of water points,2 water point extensions,400,21000,2,f,f,t,t,t,f,f,f,1801
54,MUDUG,GAALKACYO,WARGALO,CESVI,DROUGHT,Restocking,800 goats,80,32000,4,f,f,f,f,f,f,t,f,1801
54,MUDUG,GAALKACYO,GALINSOOR,CESVI,DROUGHT,Restocking,1000 goats,100,40000,4,f,f,f,f,f,f,t,f,1801
54,MUDUG,GAALKACYO,DOCOL,CESVI,DROUGHT,Restocking,800 Animals,80,32000,4,f,f,f,f,f,f,t,f,1801
54,MUDUG,GAALKACYO,DHUURE,CESVI,DROUGHT,Restocking,300 Animals,30,12000,4,f,f,f,f,f,f,t,f,1801
54,MUDUG,GAALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Restocking,800 goats,80,32000,4,f,f,f,f,f,f,t,f,1801
15,HIRAAN,BELET WEYNE,BACAD,SCI,FLOOD,Phased distribution of project inputs and small business grants,1,20,20000,4,f,f,f,f,f,t,t,t,2001
15,HIRAAN,BELET WEYNE,BACAD,SCI,FLOOD,Community Sensitization on IGAs& micro credit,1,20,1000,4,f,f,f,f,f,t,t,t,2001
15,HIRAAN,BELET WEYNE,SHINILE ,CESVI,DROUGHT,Cash grants,30 HHs/3mths,30,9750,4,f,t,f,f,f,f,f,f,2001
15,HIRAAN,BELET WEYNE,QOYDO,CESVI,DROUGHT,Cash grants,60 HHs/3mths,60,19500,4,f,t,f,f,f,f,f,f,2001
51,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,CONFLICT,Rehabilitation of water sources and piping to the water points (2 water sources),2,858,7700,2,f,f,f,t,t,f,f,f,2212
51,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Rehabilitation of  2 water of sources and water piping to the IDPs,2,858,7700,2,f,f,f,t,t,f,f,f,2216
54,BANADIR,BANADIR,HALANE,NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,
51,BANADIR,BANADIR,DAGAH TUR,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,f,t,t,f,f,f,f,f,
54,BANADIR,BANADIR,DAGAH TUR,NRC,DROUGHT,Restocking,700,70,45000,4,f,t,f,t,f,f,f,f,
59,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Fisherman training and market development,3,45,24885,4,f,f,f,f,t,t,t,t,2208
56,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,CONFLICT,Set up (where needed) and support Peace Committees at village level,1,12,18000,1,f,f,t,t,t,t,t,t,2308
56,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,CONFLICT,Set up (where needed) and support Peace Committees at village level,1,12,18000,1,f,f,t,t,t,t,t,t,2308
56,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,CONFLICT,Set up (where needed) and support Peace Committees at village level,1,12,18000,1,f,f,t,t,t,t,t,t,2308
56,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,CONFLICT,Set up (where needed) and support Peace Committees at village level,1,12,18000,1,f,f,t,t,t,t,t,t,2308
56,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,CONFLICT,Set up (where needed) and support Peace Committees at village level,1,12,18000,1,f,f,t,t,t,t,t,t,2308
56,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,CONFLICT,Set up (where needed) and support Peace Committees at village level,1,12,18000,1,f,f,t,t,t,t,t,t,2308
56,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,CONFLICT,Set up (where needed) and support Peace Committees at village level,1,12,18000,1,f,f,t,t,t,t,t,t,2308
15,GEDO,LUUQ,JAZEERA (ALL),NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,t,t,f,f,f,f,f,2606
15,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,t,t,f,f,f,f,f,2606
15,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,t,t,f,f,f,f,f,2801
17,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DISEASE,Community water source quality testing & treatment,1,206,630,2,f,t,f,t,f,t,t,t,2302
17,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DISEASE,Community water source quality testing & treatment,1,701,630,2,f,t,f,t,f,t,t,t,2302
35,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2302
15,BAY,BAYDHABA,HAWL WADAAG,NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,f,t,f,2401
15,BAY,BAYDHABA,BONKAI,NRC,HAZARDS,Provide start up cash grants,3,20,15000,4,f,f,t,f,f,f,t,f,2401
15,HIRAAN,BELET WEYNE,GARASH,CESVI,DROUGHT,Cash grants,30 HHs/3mths,30,9750,4,f,t,f,f,f,f,f,f,2001
15,HIRAAN,BELET WEYNE,DHAYWABAR,CESVI,DROUGHT,Cash grants,30 HHs/3mths,30,9750,4,f,t,f,f,f,f,f,f,2001
